RL	// User ID
14-9-2022	// Evaluation date
RewardFB_ER_11_Retention5min	14-9-2022	10:39:30:375	// Source file name and timestamp
100.000	// Sampling rate
31.868	// Data capture period

0.020000	// MOE
0.604000	// BslLeft
0.621000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.110104	-0.757344	0.067349	0.149440	-0.696515	0.088358	0.171007	-0.594716	0.042320	-0.022649	-0.740606	0.067529	-0.066879	-0.680005	0.088614	-0.088792	-0.579257	0.044079	0.008934	-0.559249	0.043316	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.073119	-0.005165	0.323315	0.071057	-0.012491	0.276274	
1	0.110098	-0.757344	0.067404	0.149458	-0.696516	0.088324	0.170997	-0.594705	0.042317	-0.022633	-0.740647	0.067606	-0.066842	-0.679924	0.088611	-0.088799	-0.579129	0.044069	0.008892	-0.559157	0.043208	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.070067	-0.009132	0.323315	0.063733	-0.008828	0.276885	
2	0.110073	-0.757343	0.067427	0.149393	-0.696440	0.088350	0.171043	-0.594634	0.042446	-0.022652	-0.740619	0.067626	-0.066835	-0.679908	0.088554	-0.088767	-0.579172	0.044096	0.008936	-0.559159	0.043351	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.067626	-0.009437	0.324230	0.070752	-0.011575	0.277800	
3	0.110064	-0.757376	0.067369	0.149404	-0.696386	0.088382	0.171079	-0.594651	0.042607	-0.022699	-0.740599	0.067565	-0.066804	-0.680021	0.088460	-0.088715	-0.579373	0.044136	0.009002	-0.559242	0.043567	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.071288	-0.004249	0.322399	0.075330	-0.012491	0.276885	
4	0.110071	-0.757399	0.067301	0.149421	-0.696408	0.088433	0.171103	-0.594656	0.042699	-0.022721	-0.740601	0.067524	-0.066836	-0.680146	0.088472	-0.088714	-0.579448	0.044150	0.009171	-0.559321	0.043810	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.072814	-0.002418	0.322704	0.068005	-0.011270	0.276885	
5	0.110060	-0.757397	0.067285	0.149380	-0.696484	0.088450	0.171155	-0.594741	0.042723	-0.022716	-0.740649	0.067501	-0.066897	-0.680221	0.088519	-0.088720	-0.579454	0.044143	0.009233	-0.559354	0.043839	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.069457	-0.006691	0.321789	0.068005	-0.009439	0.278105	
6	0.110077	-0.757396	0.067267	0.149382	-0.696514	0.088392	0.171140	-0.594761	0.042613	-0.022673	-0.740625	0.067503	-0.066906	-0.680240	0.088519	-0.088769	-0.579448	0.044092	0.009046	-0.559298	0.043550	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.068542	-0.008217	0.323009	0.073499	-0.010659	0.278105	
7	0.110079	-0.757344	0.067295	0.149400	-0.696478	0.088365	0.171021	-0.594691	0.042411	-0.022638	-0.740631	0.067548	-0.066906	-0.680102	0.088529	-0.088821	-0.579281	0.044030	0.008940	-0.559211	0.043327	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.069762	-0.005165	0.322704	0.071057	-0.014932	0.275664	
8	0.110086	-0.757329	0.067384	0.149410	-0.696445	0.088309	0.171004	-0.594684	0.042330	-0.022646	-0.740615	0.067570	-0.066839	-0.679900	0.088556	-0.088817	-0.579203	0.044039	0.008911	-0.559156	0.043255	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.072204	-0.002723	0.322399	0.068616	-0.010965	0.278411	
9	0.110106	-0.757303	0.067472	0.149482	-0.696422	0.088327	0.171048	-0.594651	0.042416	-0.022635	-0.740593	0.067628	-0.066786	-0.679835	0.088548	-0.088751	-0.579257	0.044118	0.008926	-0.559143	0.043274	0.000000	0.604000	0.000000	0.000000	0.624000	0.584000	0.000000	0.000000	-0.069762	-0.005165	0.321483	0.068921	-0.009134	0.277800	
