RL	// User ID
30-8-2022	// Evaluation date
VisualFB_ER_09_Retention5min	30-8-2022	17:34:21:773	// Source file name and timestamp
100.000	// Sampling rate
37.565	// Data capture period

0.020000	// MOE
0.595000	// BslLeft
0.590000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	Target	SLtrgt	StrideCount	Success	TrgtHi	TrgtLo	LSLcompare	RSLcompare	RFx	RFy	RFz	LFx	LFy	LFz	
0	0.131949	-0.922190	0.084647	0.195562	-0.868136	0.106182	0.245878	-0.767637	0.048363	-0.074796	-0.919649	0.083557	-0.138013	-0.867555	0.106500	-0.190707	-0.769343	0.049111	-0.086322	-0.719640	0.045216	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.089796	0.004639	0.371726	0.091843	-0.017782	0.406075	
1	0.131984	-0.922165	0.084660	0.195676	-0.868132	0.106228	0.245951	-0.767643	0.048455	-0.074772	-0.919617	0.083545	-0.137983	-0.867579	0.106601	-0.190693	-0.769342	0.049185	-0.086172	-0.719618	0.045141	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.090406	0.004944	0.370200	0.090623	-0.016561	0.405770	
2	0.131953	-0.922165	0.084607	0.195785	-0.868310	0.106337	0.245987	-0.767678	0.048541	-0.074746	-0.919591	0.083483	-0.138043	-0.867687	0.106629	-0.190750	-0.769434	0.049271	-0.086177	-0.719695	0.045145	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.091321	0.004334	0.370810	0.091538	-0.016866	0.405160	
3	0.131954	-0.922132	0.084499	0.195679	-0.868266	0.106200	0.246040	-0.767749	0.048570	-0.074745	-0.919529	0.083416	-0.138076	-0.867763	0.106694	-0.190887	-0.769528	0.049376	-0.086256	-0.719758	0.045140	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.090101	0.003419	0.369590	0.090928	-0.017477	0.405770	
4	0.131936	-0.922163	0.084478	0.195647	-0.868298	0.106267	0.245949	-0.767879	0.048578	-0.074799	-0.919549	0.083382	-0.138124	-0.867820	0.106745	-0.190910	-0.769587	0.049384	-0.086385	-0.719811	0.045216	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.089796	0.002198	0.368369	0.090928	-0.017782	0.405160	
5	0.131958	-0.922182	0.084554	0.195677	-0.868305	0.106308	0.245918	-0.767847	0.048621	-0.074772	-0.919587	0.083468	-0.138127	-0.867763	0.106705	-0.190913	-0.769573	0.049395	-0.086436	-0.719890	0.045260	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.090711	0.004334	0.368369	0.090317	-0.016561	0.405465	
6	0.131940	-0.922139	0.084654	0.195704	-0.868342	0.106379	0.245958	-0.767762	0.048613	-0.074825	-0.919607	0.083522	-0.138156	-0.867759	0.106695	-0.190901	-0.769553	0.049302	-0.086458	-0.719789	0.045222	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.091321	0.005860	0.368064	0.091538	-0.017477	0.407296	
7	0.131933	-0.922177	0.084652	0.195668	-0.868345	0.106358	0.245936	-0.767716	0.048578	-0.074796	-0.919680	0.083525	-0.137994	-0.867628	0.106597	-0.190764	-0.769429	0.049206	-0.086308	-0.719713	0.045260	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.090711	0.003419	0.367453	0.091233	-0.018392	0.404855	
8	0.131919	-0.922205	0.084587	0.195738	-0.868315	0.106287	0.245924	-0.767681	0.048448	-0.074777	-0.919704	0.083452	-0.137989	-0.867697	0.106585	-0.190717	-0.769431	0.049167	-0.086143	-0.719660	0.045225	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.090406	0.000672	0.367453	0.090012	-0.017477	0.406686	
9	0.131902	-0.922207	0.084513	0.195790	-0.868292	0.106231	0.245989	-0.767692	0.048367	-0.074761	-0.919660	0.083428	-0.137981	-0.867701	0.106571	-0.190712	-0.769458	0.049136	-0.086117	-0.719630	0.045209	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.089490	0.002503	0.368369	0.090012	-0.019308	0.406075	
10	0.131941	-0.922221	0.084488	0.195795	-0.868344	0.106195	0.245945	-0.767773	0.048385	-0.074749	-0.919652	0.083377	-0.137969	-0.867752	0.106573	-0.190764	-0.769515	0.049203	-0.086180	-0.719653	0.045149	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.091321	0.005555	0.368979	0.090928	-0.018087	0.406686	
11	0.131944	-0.922181	0.084542	0.195733	-0.868331	0.106210	0.245960	-0.767750	0.048546	-0.074786	-0.919600	0.083375	-0.138041	-0.867697	0.106583	-0.190840	-0.769488	0.049291	-0.086335	-0.719715	0.045117	0.000000	0.595000	0.000000	0.000000	0.615000	0.575000	0.000000	0.000000	-0.091016	0.006165	0.367758	0.090623	-0.016866	0.406381	
